Category,Product,Price,ageRestriction,packSize
Bier,Bier,1.20,true,24
Bier,Speciaalbier,2.00,true,6
Bier,Pott's weizen,1.70,true,24
Bier,Hefstbok,1.50,true,6
Mix,Mix,2.70,true,1
Mix,Cocktail,5.00,true,1
Mix,Pelle mix,5.00,true,1
Fris,Fris,1.20,false,24
Fris,Appelsap,1.50,false,6
Fris,Spa rood,0.70,false,6
Fris,Spa fles,2.00,false,6
Wijn,Zoete witte wijn,1.50,true,1
Wijn,Droge witte wijn,1.50,true,1
Wijn,Zoete witte fles,6.00,true,1
Wijn,Droge witte fles,6.00,true,1
Shotjes,Shotje,1.50,true,1
Shotjes,Flying chicken,0.75,true,82
Shotjes,Jagerbomb,2.00,true,1
Shotjes,b52,2.00,true,1
Shotjes,sourz,1.20,true,1
Speciaal,radje,5.00,true,1
Speciaal,Tower mix,45.00,true,1
Speciaal,Tower bier,20.00,true,1
Frituur,Snack,1.50,false,1
Frituur,6 mini snacks,1.10,false,1
Frituur,9 mini snacks,1.60,false,1
Frituur,Doos snacks,5.00,false,1
Frituur,Sitostick,2.00,false,1
Etenswaren,Zak chips,1.50,false,1
Etenswaren,Snoepreep,1.00,false,1
Etenswaren,Kinder suprise,2.30,false,1
Etenswaren,Lolly,0.50,false,1
Overige,Glasschade,5.00,false,1
