Bier,Bier,1.20
Bier,Speciaalbier,2.00
Bier,Pott's weizen,1.70
Bier,Hefstbok,1.50
Mix,Mix,2.70
Mix,Cocktail,5.00
Mix,Pelle mix,5.00
Fris,Fris,1.20
Fris,Appelsap,1.50
Fris,Spa rood,0.70
Fris,Spa fles,2.00
Wijn,Zoete witte wijn,1.50
Wijn,Droge witte wijn,1.50
Wijn,Zoete witte fles,6.00
Wijn,Droge witte fles,6.00
Shotjes,Shotje,1.50
Shotjes,Flying chicken,0.75
Shotjes,Jagerbomb,2.00
Shotjes,b52,2.00
Shotjes,sourz,1.20
Speciaal,radje,5.00
Speciaal,Tower mix,45.00
Speciaal,Tower bier,20.00
Frituur,Snack,1.50
Frituur,6 mini snacks,1.10
Frituur,9 mini snacks,1.60
Frituur,Doos snacks,5.00
Frituur,Sitostick,2.00
Etenswaren,Zak chips,1.50
Etenswaren,Snoepreep,1.00
Etenswaren,Kinder suprise,2.30
Etenswaren,Lolly,0.50
Overige,Glasschade,5.00
